"Kontenklasse","Kontengruppe","Kontenart","Konto","Unterkonto","Bereichsabgrenzung","Bezeichnung"
,,,"4484",,,"Ausgleichsleistungen nach dem Gesetz über den Abbau der Fehlsubventionierung im Wohnungswesen (AFWoG)"
,,449,,,,"Weitere sonstige Aufwendungen aus laufender Verwaltungstätigkeit"
,,,4491,,,"Weitere sonstige zahlungswirksame Aufwendungen aus laufender Verwaltungstätigkeit"
,,,"4492",,,"Weitere sonstige nichtzahlungswirksame ordentliche Aufwendungen "
,,,"44921",,,"Nachpassivierung, Aufwendungen aus Inventurdifferenzen aus Vorräten (Mengen- und Preisdifferenzen)"
,,,"44922",,,"Zuführung Rücklagen Stiftung aus Überschuss des ordentlichen Ergebnisses einer rechtlich unselbständigen Stiftung"
,,,"4498",,,"Deckungsreserve"
,,,"4499",,,"Globaler Minderaufwand"
,45,,,,,"Zinsen und sonstige Finanzaufwendungen"
,,451,,,,"Zinsaufwendungen"
,,,"451-",,"B","Zinsaufwendungen"
,,459,,,,"Sonstige Finanzaufwendungen"
,,,4591,,,"Kreditbeschaffungskosten"
,,,"4593",,,"Aufwand des Geldverkehrs"
,,,"4594",,,"Aufwendungen im Rahmen von Finanzderivatgeschäften"
,,,4599,,,"Sonstige Finanzaufwendungen"
,47,,,,,"Bilanzielle Abschreibungen"
,,471,,,,"Abschreibungen auf immaterielle Vermögensgegenstände und Sachvermögen"
,,,4711,,,"Abschreibungen auf immaterielle Vermögensgegenstände und Sachvermögen"
,,472,,,,"Abschreibungen auf Finanzvermögen"
,,,4721,,,"Abschreibungen auf Finanzvermögen"
,,,"4722",,,"Abschreibungen auf Forderungen"
,,,"4729",,,"Sonstige Abschreibungen auf Finanzvermögen"
,,"479",,,,"Sonstige Abschreibungen"
,,,"4791",,,"Sonstige Abschreibungen"
,48,,,,,"Aufwendungen aus internen Leistungsbeziehungen"
,,481,,,,"Aufwendungen aus internen Leistungsbeziehungen"
,,,4811,,,"Aufwendungen aus internen Leistungsbeziehungen"
5,,,,,,"Außerordentliche Erträge und Aufwendungen"
,50,,,,,"Realisierte außerordentliche Erträge"
,,501,,,,"Außerordentliche Erträge"
,,,"5012",,,"Empfangene Schadensersatzleistungen u. ä."
,,,"5013",,,"Erträge aus Zuschreibungen aus der Aufhebung von außerordentlichen Abschreibungen"
,,,"5019",,,"Sonstige außerordentliche Erträge"
,,503,,,,"Außerordentliche Auflösung von Sonderposten"
,,,"5031",,,"Außerordentliche Auflösung von Sonderposten"
,,509,,,,"Entnahme Ergebnisrücklagen Stiftungen zum Ausgleich des Sonderergebnisses der rechtlich unselbständigen Stiftungen"
,51,,,,,"Realisierte außerordentliche Aufwendungen"
,,511,,,,"Außerordentliche Aufwendungen"
,,,"5111",,,"Aufwendungen im Zusammenhang mit Katastrophen u. ä. Ereignissen"
,,,"5113",,,"Geleisteter Schadensersatz u. ä."
,,,"5114",,,"Aufwendungen aus Inanspruchnahme von Gewährleistungen"
,,,"5119",,,"Sonstige außerordentliche Aufwendungen"
,,513,,,,"Außerordentliche Abschreibungen"
,,,"5131",,,"Außerordentliche Abschreibungen"
,,519,,,,"Zuführung Ergebnisrücklagen Stiftungen aus Überschuss des Sonderergebnisses rechtlich unselbstständiger Stiftungen"
,"53",,,,,"Veräußerung von Vermögensgegenständen "
,,"531",,,,"Erträge aus der Veräußerung von Vermögensgegenständen"
,,,"5311",,,"Erträge aus der Veräußerung von Grundstücken und Gebäuden"
,,,"5312",,,"Erträge aus der Veräußerung von beweglichen Vermögensgegenständen"
,,,"5314",,,"Erträge aus der Veräußerung von Finanzvermögen"
,,,"5315",,,"Erträge aus der Veräußerung von immateriellen Vermögensgegenständen"
,,"532",,,,"Aufwendungen aus der Veräußerung von Vermögensgegenständen "
,,,"5321",,,"Aufwendungen aus der Veräußerung von Grundstücken und Gebäuden"
,,,"5322",,,"Aufwendungen aus der Veräußerung von beweglichen Vermögensgegenständen"
,,,"5324",,,"Aufwendungen aus der Veräußerung von Finanzvermögen"
,,,"5325",,,"Aufwendungen aus der Veräußerung von immateriellen Vermögensgegenständen"
6,,,,,,"Einzahlungen"
,60,,,,,"Steuern und ähnliche Abgaben"
,,601,,,,"Realsteuern"
,,,"6011",,,"Grundsteuer A"
,,,"6012",,,"Grundsteuer B"
,,,"6013",,,"Gewerbesteuer"
,,602,,,,"Gemeindeanteile an den Gemeinschaftssteuern"
,,,"6021",,,"Gemeindeanteil an der Einkommensteuer"
,,,"6022",,,"Gemeindeanteil an der Umsatzsteuer"
,,603,,,,"Sonstige Gemeindesteuern"
,,,"6031",,,"Vergnügungssteuer"
,,,"6032",,,"Hundesteuer"
,,,"6033",,,"Jagdsteuer"
,,,"6034",,,"Zweitwohnungssteuer"
,,,6039,,,"Sonstige örtliche Steuern"
,,604,,,,"Steuerähnliche Einzahlungen "
,,,6041,,,"Fremdenverkehrsbeiträge"
,,,6042,,,"Abgaben von Spielbanken"
,,,6049,,,"Sonstige steuerähnliche Einzahlungen"
,,605,,,,"Ausgleichsleistungen"
,,,"6051",,,"Leistungen nach dem Familienleistungsausgleich"
,,,"6052",,,"Sonstige Ausgleichsleistungen"
,,,,"60521",,"Leistungen des Landes aus der Umsetzung des 4. Gesetzes für moderne Dienstleistungen am Arbeitsmarkt (Weitergabe Wohngeldentlastung)"
,61,,,,,"Zuwendungen und allgemeine Umlagen"
,,611,,,,"Schlüsselzuweisungen"
,,,"6111",,,"Schlüsselzuweisungen vom Land"
,,612,,,,"Bedarfszuweisungen"
,,,"6121",,,"Bedarfszuweisungen vom Land"
,,613,,,,"Sonstige allgemeine Zuweisungen"
,,,"613-",,"A","Sonstige allgemeine Zuweisungen"
,,614,,,,"Zuweisungen und Zuschüsse für laufende Zwecke"
,,,"614-",,"A","Zuweisungen und Zuschüsse für laufende Zwecke"
,,,,"61419",,"Laufende Zuweisungen an die Stadt- und Landkreise zu den örtlichen Sozialhilfelasten (§ 21 FAG)"
,,615,,,,"Zuweisungen des Landes aus dem Aufkommen an der Grunderwerbssteuer"
,,,"6151",,,"Zuweisungen des Landes aus dem Aufkommen an der Grunderwerbssteuer"
,,618,,,,"Allgemeine Umlagen"
,,,"618-",,"A","Allgemeine Umlagen"
,,,,"61829",,"Ausgleich für die Übernahme von Aufgaben der Landeswohlfahrtsverbände, Status-quo-Ausgleich (§ 22 FAG)"
,,619,,,,"Aufgabenbezogene Leistungsbeteiligungen"
,,,"6191",,,"Leistungsbeteiligung für die Umsetzung der Grundsicherung für Arbeitsuchende"
,62,,,,,"Sonstige Transfereinzahlungen"
,,621,,,,"Ersatz von sozialen Leistungen außerhalb von Einrichtungen"
,,,"6211",,,"Kostenbeiträge und Aufwendungsersatz; Kostenersatz"
,,,"6212",,,"Übergeleitete Unterhaltsansprüche gegen bürgerlich-rechtliche Unterhaltsverpflichtete"
,,,"6213",,,"Leistungen von Sozialleistungsträgern"
,,,"6214",,,"Sonstige Ersatzleistungen"
,,,"6215",,,"Rückzahlung gewährter Hilfen (Tilgung und Zinsen von Darlehen)"
,,622,,,,"Ersatz von sozialen Leistungen in Einrichtungen"
,,,"6221",,,"Kostenbeiträge und Aufwendungsersatz; Kostenersatz"
,,,"6222",,,"Übergeleitete Unterhaltsansprüche gegen bürgerlich-rechtliche Unterhaltsverpflichtete"
,,,"6223",,,"Leistungen von Sozialleistungsträgern"
,,,"6224",,,"Sonstige Ersatzleistungen"
,,,"6225",,,"Rückzahlung gewährter Hilfen (Tilgung und Zinsen von Darlehen)"
,,623,,,,"Schuldendiensthilfen"
,,,"623-",,"A","Schuldendiensthilfen"
,,629,,,,"Andere sonstige Transfereinzahlungen"
,,,"6291",,,"Andere sonstige Transfereinzahlungen"
,63,,,,,"Öffentlich-rechtliche Leistungsentgelte"
,,631,,,,"Verwaltungsgebühren"
,,,"6311",,,"Verwaltungsgebühren"
,,632,,,,"Benutzungsgebühren und ähnliche Entgelte"
,,,"6321",,,"Benutzungsgebühren und ähnliche Entgelte, soweit nicht 6322"
,,,"6322",,,"Elternbeiträge für die Betreuung von Kindern von 0 bis unter 3 Jahren in Kindertagesstätten und in der Kindertagespflege"
,,636,,,,"Zweckgebundene Abgaben"
,,,"6361",,,"Zweckgebundene Abgaben"
,64,,,,,"Privatrechtliche Leistungsentgelte, Kostenerstattungen und Kostenumlagen"
,,641,,,,"Mieten und Pachten"
,,,"6411",,,"Mieten inkl. Nebenkostenanteil aus Mietverträgen und Pachten"
,,642,,,,"Einzahlungen aus Verkauf"
,,,"6421",,,"Einzahlungen aus Verkauf"
,,646,,,,"Sonstige privatrechtliche Leistungsentgelte"
,,,"6461",,,"Sonstige privatrechtliche Leistungsentgelte"
,,648,,,,"Einzahlungen aus Kostenerstattungen, Kostenumlagen"
,,,"648-",,"A","Einzahlungen aus Kostenerstattungen, Kostenumlagen"
,65,,,,,"Sonstige Einzahlungen aus laufender Verwaltungstätigkeit"
,,651,,,,"Konzessionsabgaben"
,,,"6511",,,"Konzessionsabgaben"
,,652,,,,"Erstattung von Steuern"
,,,"6521",,,"Erstattung von Steuern"
,,656,,,,"Besondere Einzahlungen"
,,,"6561",,,"Bußgelder"
,,,"6562",,,"Säumniszuschläge, Zinsen auf Abgaben und dergl."
,,,"6563",,,"Einzahlungen aus der Inanspruchnahme von Bürgschaften, Gewährverträgen usw."
,,659,,,,"sonstige Einzahlungen aus laufender Verwaltungstätigkeit"
,,,"6591",,,"sonstige Einzahlungen aus laufender Verwaltungstätigkeit"
,66,,,,,"Zinsen und sonstige Finanzeinzahlungen"
,,661,,,,"Zinseinzahlungen"
,,,"661-",,"B","Zinseinzahlungen"
,,665,,,,"Einzahlungen aus Gewinnanteilen aus verbundenen Unternehmen und Beteiligungen"
,,,"6651",,,"Einzahlungen aus Gewinnanteilen aus verbundenen Unternehmen und Beteiligungen"
,,669,,,,"Sonstige Finanzeinzahlungen"
,,,"6694",,,"Einzahlungen im Rahmen von Finanzderivatgeschäften"
,,,"6699",,,"Weitere sonstige Finanzeinzahlungen"
,67,,,,,"haushaltsunwirksame Einzahlungen"
,,"671 - 678",,,,"Konten sind frei zu halten"
,,"679",,,,"haushaltsunwirksame Einzahlungen"
,,,6791,,,"Durchlaufende Gelder"
,,,6792,,,"Kassenkredite"
,,,6793,,,"Sondervermögen, Liquiditätsverbund"
,,,6794,,,"Geldanlagen"
,,,"6797",,,"Einzahlungen aus Umsatzsteuer"
,68,,,,,"Einzahlungen aus Investitionstätigkeit"
,,681,,,,"Investitionszuwendungen "
,,,"681-",,"A","Investitionszuwendungen "
,,682,,,,"Einzahlungen aus der Veräußerung von Grundstücken und Gebäuden"
,,,"6821",,,"Einzahlungen aus der Veräußerung von Grundstücken und Gebäuden"
,,683,,,,"Einzahlungen aus der Veräußerung von immateriellen und beweglichen Vermögensgegenständen"
,,,"6831",,,"Einzahlungen aus der Veräußerung von immateriellen und beweglichen Vermögensgegenständen oberhalb der Wertgrenze nach § 38 Abs. 4 GemHVO"
,,,,68311,,"Einzahlungen aus der Veräußerung von immateriellen Vermögensgegenständen oberhalb der Wertgrenze nach § 38 Abs. 4 GemHVO"
,,,,68312,,"Einzahlungen aus der Veräußerung von beweglichen Vermögensgegenständen oberhalb der Wertgrenze nach § 38 Abs. 4 GemHVO"
,,,"6832",,,"Einzahlungen aus der Veräußerung von immateriellen und beweglichen Vermögensgegenständen unterhalb der Wertgrenze nach § 38 Abs. 4 GemHVO, sofern diese als notwendige Erstausstattung im Zusammenhang mit einer investiven Baumaßnahme nach § 46 Abs. 2 Satz 2 Halbsatz 1 GemHVO aktiviert wurden."
,,,,68321,,"Einzahlungen aus der Veräußerung von immateriellen Vermögensgegenständen unterhalb der Wertgrenze nach § 38 Abs. 4 GemHVO, sofern diese als notwendige Erstausstattung im Zusammenhang mit einer investiven Baumaßnahme nach § 46 Abs. 2 Satz 2 Halbsatz 1 GemHVO aktiviert wurden."
,,,,68322,,"Einzahlungen aus der Veräußerung von beweglichen Vermögensgegenständen unterhalb der Wertgrenze nach § 38 Abs. 4 GemHVO, sofern diese als notwendige Erstausstattung im Zusammenhang mit einer investiven Baumaßnahme nach § 46 Abs. 2 Satz 2 Halbsatz 1 GemHVO aktiviert wurden."
,,"684",,,,"Einzahlungen aus der Veräußerung von Anteilsrechten an verbundenen Unternehmen "
,,,"6841",,,"Einzahlung aus der Veräußerung von börsennotierte Aktien"
,,,"6842",,,"Einzahlung aus der Veräußerung von nichtbörsennotierte Aktien"
,,,"6843",,,"Einzahlung aus der Veräußerung von sonstigen Anteilen"
,,"685",,,,"Einzahlungen aus der Veräußerung von Beteiligungen/Sondervermögen"
,,,"6851",,,"Einzahlung aus der Veräußerung von börsennotierte Aktien"
,,,"6852",,,"Einzahlung aus der Veräußerung von nichtbörsennotierte Aktien"
,,,"6853",,,"Einzahlung aus der Veräußerung von Beteiligung an Zweckverbänden und sonstigen Anteilsrechten"
,,,"6854",,,"Einzahlung aus der Veräußerung von Sondervermögen"
,,"686",,,,"Einzahlungen aus der Veräußerung von Wertpapieren"
,,,"6861",,,"Einzahlungen aus der Veräußerung von Investmentzertifikaten"
,,,,"6862-","B","Einzahlungen aus der Veräußerung von Kapitalmarktpapieren"
,,,,"6863-","B","Einzahlungen aus der Veräußerung von Geldmarktpapieren"
,,,"6864",,,"Einzahlungen aus der Veräußerung von Finanzderivaten"
,,"687",,,,"Einzahlungen aus der Abwicklung von Baumaßnahmen"
,,,"6871",,,"Einzahlungen aus der Abwicklung von Baumaßnahmen"
,,"688",,,,"Rückflüsse von Ausleihungen"
,,,"688-",,"B","Rückflüsse von Ausleihungen"
,,"689",,,,"Beiträge und ähnliche Entgelte"
,,,"6891",,,"Beiträge und ähnliche Entgelte"
,69,,,,,"Einzahlungen aus Finanzierungstätigkeit "
,,"691",,,,"Einzahlungen aus der Ausgabe von Anleihen"
,,,"6911-",,"C und D","Einzahlungen aus der Ausgabe von Anleihen"
,,692,,,,"Kreditaufnahmen für Investitionen"
,,,"692-",,"B und C
tw. D
siehe Zuord-
nungs-
vor-
schriften","Kreditaufnahmen für Investitionen"
,,694,,,,"Sonstige Wertpapierverschuldung"
,,,"6941-",,"C und D","Sonstige Wertpapierverschuldung"
,,699,,,,"Rückflüsse von Darlehensforderungen (ohne Ausleihungen)"
,,,"699-",,"B","Rückflüsse von Darlehensforderungen"
7,,,,,,"Auszahlungen"
,70,,,,,"Personalauszahlungen"
,,701,,,,"Auszahlungen von Diensbezügen"
,,,7011,,,"Beamte"
,,,7012,,,"Tariflich Beschäftigte"
,,,7019,,,"Sonstige Beschäftigte"
,,702,,,,"Beiträge zu Versorgungskassen"
,,,7021,,,"Beamte"
,,,7022,,,"Tariflich Beschäftigte"
,,,7029,,,"Sonstige Beschäftigte"
,,703,,,,"Beiträge zur gesetzlichen Sozialversicherung"
,,,7031,,,"Beamte"
,,,7032,,,"Tariflich Beschäftigte"
,,,7039,,,"Sonstige Beschäftigte"
,,704,,,,"Beihilfen, Unterstützungsleistungen für Bedienstete"
,,,"7041",,,"Beihilfen, Unterstützungsleistungen für Bedienstete"
,71,,,,,"Versorgungsauszahlungen"
,,711,,,,"Auszahlung von Versorgungsbezügen"
,,,7111,,,"Beamte"
,,,7112,,,"Tariflich Beschäftigte"
,,,7119,,,"Sonstige Beschäftigte"
,,713,,,,"Beiträge zur gesetzlichen Sozialversicherung"
,,,7131,,,"Beamte"
,,,7132,,,"Tariflich Beschäftigte"
,,,7139,,,"Sonstige Beschäftigte"
,,714,,,,"Beihilfen, Unterstützungsleistungen für Versorgungsempfänger"
,,,"7141",,,"Beihilfen, Unterstützungsleistungen für Versorgungsempfänger"
,72,,,,,"Auszahlungen für Sach- und Dienstleistungen "
,,721,,,,"Unterhaltung des unbeweglichen Vermögens"
,,,"7211",,,"Unterhaltung der Grundstücke und baulichen Anlagen"
,,,"7212",,,"Unterhaltung des sonstigen unbeweglichen Vermögens"
,,722,,,,"Unterhaltung des beweglichen Vermögens"
,,,"7221",,,"Unterhaltung des beweglichen Vermögens"
,,,"7222",,,"Erwerb von geringwertigen Vermögensgegenständen"
,,723,,,,"Mieten und Pachten, Leasing"
,,,"7231",,,"Mieten inkl. Mietnebenkosten und Pachten"
,,,"7232",,,"Leasing"
,,,"7233",,,"Anteil der Gebäudebewirtschaftungskosten an Mieten und Pachten bei Nutzungsüberlassung von Schulgebäuden oder von Gebäuden für Kindertagesstätten durch kommunalen Eigenbetrieb oder Eigengesellschaft"
,,,"7234",,,"Mieten und Pachten bei Nutzungsüberlassung von Schulgebäuden oder von Gebäuden für Kindertagesstätten durch kommunalen Eigenbetrieb oder Eigengesellschaft, soweit nicht Konto 7233"
,,724,,,,"Bewirtschaftung der Grundstücke und baulichen Anlagen"
,,,"7241",,,"Bewirtschaftung der Grundstücke und baulichen Anlagen"
,,725,,,,"Haltung von Fahrzeugen"
,,,"7251",,,"Haltung von Fahrzeugen"
,,726,,,,"Besondere Auszahlungen für Beschäftigte"
,,,"7261",,,"Besondere Auszahlungen für Beschäftigte"
,,727,,,,"Besondere Verwaltungs- und Betriebsauszahlungen"
,,,"7271",,,"Besondere Verwaltungs- und Betriebsauszahlungen"
,,,"7274",,,"Lehr- und Unterrichtsmaterial"
,,,"7275",,,"Lernmittel"
,,728,,,,"Auszahlungen für den Erwerb von Vorräten"
,,,"7281",,,"Auszahlungen für den Erwerb von Vorräten"
,,729,,,,"Auszahlungen für sonstige Dienstleistungen"
,,,"7291",,,"Auszahlungen für sonstige Dienstleistungen"
,73,,,,,"Transferauszahlungen"
,,731,,,,"Zuweisungen und Zuschüsse für laufende Zwecke"
,,,"731-",,"A","Zuweisungen und Zuschüsse für laufende Zwecke"
,,,,"73181",,"Institutionelle Förderung des ehem. LWV an soziale Einrichtungen"
,,732,,,,"Schuldendiensthilfen"
,,,"732-",,"A","Schuldendiensthilfen"
,,733,,,,"Sozialtransferauszahlungen"
,,,7331,,,"Soziale Leistungen an natürliche Personen außerhalb von Einrichtungen"
,,,"7332",,,"Soziale Leistungen an natürliche Personen in Einrichtungen"
,,,7339,,,"Sonstige soziale Leistungen"
,,734,,,,"Steuerbeteiligungen "
,,,7341,,,"Gewerbesteuerumlage"
,,735,,,,"Allgemeine Zuweisungen"
,,,"735-",,"A","Allgemeine Zuweisungen"
,,737,,,,"Allgemeine Umlagen"
,,,"737-",,"A","Allgemeine Umlagen"
,,,,"73729",,"Ausgleich für die Übernahme von Aufgaben der Landeswohlfahrtsverbände,
Status-quo-Ausgleich (§ 22 FAG)"
,,739,,,,"Sonstige Transferauszahlungen"
,,,"7391",,,"Sonstige Transferauszahlungen"
,74,,,,,"Sonstige Auszahlungen aus laufender Verwaltungstätigkeit"
,,741,,,,"Sonstige Personal- und Versorgungsauszahlungen"
,,,"7411",,,"Sonstige Personal- und Versorgungsauszahlungen"
,,742,,,,"Auszahlungen für die Inanspruchnahme von Rechten und Diensten"
,,,7421,,,"Auszahlungen für ehrenamtliche und sonstige Tätigkeit"
,,,7422,,,"Verfügungsmittel (§ 13 Satz 1 Nr. 1 GemHVO)"
,,,7429,,,"Sonstige Auszahlungen für die Inanspruchnahme von Rechten und Diensten"
,,743,,,,"Geschäftsauszahlungen"
,,,"7431",,,"Geschäftsauszahlungen"
,,744,,,,"Steuern, Versicherungen, Schadensfälle, Sonderabgaben"
,,,"7441",,,"Steuern, Versicherungen, Schadensfälle, Sonderabgaben"
,,745,,,,"Erstattungen für Auszahlungen von Dritten aus laufender Verwaltungstätigkeit"
,,,"745-",,"A","Erstattungen für Auszahlungen von Dritten aus laufender Verwaltungstätigkeit"
,,746,,,,"Aufgabenbezogene Leistungsbeteiligungen"
,,,"7461",,,"Leistungsbeteiligung für die Umsetzung der Grundsicherung für Arbeitsuchende"
,,748,,,,"Besondere Auszahlungen"
,,,"7481",,,"Bußgelder"
,,,"7482",,,"Säumniszuschläge u. ä."
,,,"7483",,,"Auszahlungen aus der Inanspruchnahme von Gewährverträgen und Bürgschaften"
,,,"7484",,,"Ausgleichsleistungen nach dem Gesetz über den Abbau der Fehlsubventionierung im Wohnungswesen (AFWoG)"
,,749,,,,"Weitere sonstige Auszahlungen aus laufender Verwaltungstätigkeit"
,,,"7491",,,"Weitere sonstige Auszahlungen aus laufender Verwaltungstätigkeit"
,75,,,,,"Zinsen und sonstige Finanzauszahlungen"
,,751,,,,"Zinsauszahlungen"
,,,"751-",,"B","Zinsauszahlungen"
,,759,,,,"Sonstige Finanzauszahlungen"
,,,"7591",,,"Kreditbeschaffungskosten"
,,,"7593",,,"Auszahlungen des Geldverkehrs"
,,,"7594",,,"Auszahlungen im Rahmen von Finanzderivatgeschäften"
,,,"7599",,,"Sonstige Finanzauszahlungen"
,77,,,,,"haushaltsunwirksame Auszahlungen"
,,"771 - 778",,,,"Konten sind frei zu halten"
,,779,,,,"haushaltsunwirksame Auszahlungen"
,,,"7791",,,"Durchlaufende Gelder"
,,,"7792",,,"Kassenkredite"
,,,"7793",,,"Sondervermögen, Liquiditätsverbund"
,,,"7794",,,"Geldanlagen"
,,,"7797",,,"Auszahlungen aus Vorsteuer"
,78,,,,,"Auszahlungen aus Investitionstätigkeit"
,,781,,,,"Zuweisungen und Zuschüsse für lnvestitionen"
,,,"781-",,"A","Zuweisungen und Zuschüsse für lnvestitionen"
,,782,,,,"Auszahlungen für den Erwerb von Grundstücken und Gebäuden"
,,,"7821",,,"Auszahlungen für den Erwerb von Grundstücken und Gebäuden"
,,783,,,,"Auszahlungen für den Erwerb von immateriellen und beweglichen Vermögensgegenständen "
,,,"7831",,,"Auszahlungen für den Erwerb von immateriellen und beweglichen Vermögensgegenständen oberhalb der Wertgrenze nach § 38 Abs. 4 GemHVO"
,,,,78311,,"Auszahlungen für den Erwerb von immateriellen Vermögensgegenständen oberhalb der Wertgrenze nach § 38 Abs. 4 GemHVO"
,,,,78312,,"Auszahlungen für den Erwerb von beweglichen Vermögensgegenständen oberhalb der Wertgrenze nach § 38 Abs. 4 GemHVO"
,,,"7832",,,"Auszahlungen für den Erwerb von immateriellen und beweglichen Vermögensgegenständen unterhalb der Wertgrenze nach § 38 Abs. 4 GemHVO bei Aktivierung als notwendige Erstausstattung im Zusammenhang mit einer investiven Baumaßnahme nach § 46 Abs. 2 Satz 2 Halbsatz 1 GemHVO"
,,,,78321,,"Auszahlungen für den Erwerb von immateriellen Vermögensgegenständen unterhalb der Wertgrenze nach § 38 Abs. 4 GemHVO bei Aktivierung als notwendige Erstausstattung im Zusammenhang mit einer investiven Baumaßnahme nach § 46 Abs. 2 Satz 2 Halbsatz 1 GemHVO"
,,,,78322,,"Auszahlungen für den Erwerb von beweglichen Vermögensgegenständen unterhalb der Wertgrenze nach § 38 Abs. 4 GemHVO bei Aktivierung als notwendige Erstausstattung im Zusammenhang mit einer investiven Baumaßnahme nach § 46 Abs. 2 Satz 2 Halbsatz 1 GemHVO"
,,,"7833",,,"Auszahlungen für die Ablösung von Dauerlasten"
,,"784",,,,"Auszahlungen für den Erwerb von Anteilsrechten an verbundenen Unternehmen "
,,,"7841",,,"Auszahlungen für den Erwerb von börsennotierte Aktien"
,,,"7842",,,"Auszahlungen für den Erwerb von nichtbörsennotierte Aktien"
,,,"7843",,,"Auszahlungen für den Erwerb von sonstigen Anteilen"
,,"785",,,,"Auszahlungen für den Erwerb von Beteiligungen/Sondervermögen"
,,,"7851",,,"Auszahlungen für den Erwerb von börsennotierte Aktien"
,,,"7852",,,"Auszahlungen für den Erwerb von nichtbörsennotierte Aktien"
,,,"7853",,,"Auszahlungen für den Erwerb von Beteiligungen an Zweckverbänden und sonstigen Anteilsrechten"
,,,"7854",,,"Auszahlung für den Erwerb von Sondervermögen"
,,"786",,,,"Auszahlungen für den Erwerb von Wertpapieren"
,,,"7861",,,"Auszahlungen für den Erwerb von Investmentzertifikaten"
,,,,"7862-","B","Auszahlungen für den Erwerb von Kapitalmarktpapieren"
,,,,"7863-","B","Auszahlungen für den Erwerb von Geldmarktpapieren"
,,,"7864",,,"Auszahlungen für den Erwerb von Finanzderivaten"
,,"787",,,,"Baumaßnahmen"
,,,"7871",,,"Auszahlungen für Hochbaumaßnahmen"
,,,"7872",,,"Auszahlungen für Tiefbaumaßnahmen"
,,,"7873",,,"Auszahlungen für sonstige Baumaßnahmen"
,,"788",,,,"Gewährung von Ausleihungen"
,,,"788-",,"B und Cv","Gewährung von Ausleihungen"
,79,,,,,"Auszahlungen aus Finanzierungstätigkeit"
,,"791",,,,"Auszahlungen zur Tilgung von Anleihen"
,,,,"7911-","C und D","Auszahlungen zur Tilgung von Anleihen"
,,792,,,,"Tilgung von Krediten für Investitionen"
,,,"792-",,"B und C
tw. D
siehe Zuord-
nungs-
vor-
schriften","Tilgung von Krediten für Investitionen"
,,794,,,,"Tilgung von sonstigen Wertpapierschulden"
,,,,"7941-","C und D","Tilgung von sonstigen Wertpapierschulden"
,,799,,,,"Gewährung von Darlehen (ohne Ausleihungen)"
,,,"799-",,"B und C","Gewährung von Darlehen (ohne Ausleihungen)"
8,,,,,,"Abschlusskonten "
,80,,,,,"Eröffnungskonten/Abschlusskonten"
,81,,,,,"Korrekturkonten"
,82,,,,,"Kurzfristige Erfolgsrechnung"
9,,,,,,"Kosten- und Leistungsrechnung (KLR)"
,90,,,,,"Kosten- und Leistungsrechnung (KLR)"
,"(91)",,,,,"Leistungsverrechnung"
,"(92)",,,,,"Umlage"
,"(93)",,,,,"Auftragsabrechnung"
,"(94)",,,,,"Gemeinkostenzuschläge"
,"(95)",,,,,"manuelle Umbuchung sekundäre Kosten"
,"(96)",,,,,
,"(97)",,,,,"kalkulatorische Zinsen und AfA (SOPO)"
,"(98)",,,,,"kalkulatorische Zinsen und AfA (Verrechnung)"
,"(99)",,,,,
